Staat Steuer Einkommen Strassen Ausweise Benzinverbrauch
Maine 9 3571 1.976 52.5 541
NewHampshire 9 4092 1.250 57.2 524
Vermont 9 3865 1.586 58.0 561
Massachusetts 7.5 4870 2.351 52.9 414
RhodeIsland 8 4399 0.431 54.4 410
Connecticut 10 5342 1.333 57.1 457
NewYork 8 5319 11.868 45.1 344
NewJersey 8 5126 2.138 55.3 467
Pennsylvania 8 4447 8.577 52.9 464
Ohio 7 4512 8.507 55.2 498
Indiana 8 4391 5.939 53.0 580
Illinois 7.5 5126 14.186 52.5 471
Michigan 7 4817 6.930 57.4 525
Wisconsin 7 4207 6.580 54.5 508
Minnesota 7 4332 8.159 60.8 566
Iowa 7 4318 10.340 58.6 635
Missouri 7 4206 8.508 57.2 603
NorthDakota 7 3718 4.725 54.0 714
SouthDakota 7 4716 5.915 72.4 865
Nebraska 8.5 4341 6.010 67.7 640
Kansas 7 4593 7.834 66.3 649
Delaware 8 4983 0.602 60.2 540
Maryland 9 4897 2.449 51.1 464
Virginia 9 4258 4.686 51.7 547
WestVirginia 8.5 4574 2.619 55.1 460
NorthCarolina 9 3721 4.746 54.4 566
SouthCarolina 8 3448 5.399 54.8 577
Georgia 7.5 3846 9.061 57.9 631
Florida 8 4188 5.975 56.3 574
Kentucky 9 3601 4.650 49.3 534
Tennessee 7 3640 6.905 51.8 571
Alabama 7 3333 6.594 51.3 554
Mississippi 8 3063 6.524 57.8 577
Arkansas 7.5 3357 4.121 54.7 628
Louisiana 8 3528 3.495 48.7 487
Oklahoma 6.58 3802 7.834 62.9 644
Texas 5 4045 17.782 56.6 640
Montana 7 3897 6.385 58.6 704
Idaho 8.5 3635 3.274 66.3 648
Wyoming 7 4345 3.905 67.2 968
Colorado 7 4449 4.639 62.6 587
NewMexico 7 3656 3.985 56.3 699
Arizona 7 4300 3.635 60.3 632
Utah 7 3745 2.611 50.8 591
Nevada 6 5215 2.302 67.2 782
Washington 9 4476 3.942 57.1 510
Oregon 7 4296 4.083 62.3 610
California 7 5002 9.794 59.3 524
Alaska 8 5162 3.246 45.2 551
Hawaii 5 4995 0.602 64.8 345
